jobss,,,,,,,
Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Ecommerce Executive,0 - 5 ," BPO, Customer Support, international bpo, Voice Process, International Voice, International Voice Process",Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Team Lead / Dev Lead,5 - 7 ,"J2Ee, Core Java, jQuery, ERP, Tomcat, Eclipse, Open source, Selenium, Computer science, OFBIZ",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Andriod Developer,0 - 2 ," Android Development, Android Studio, Java, Troubleshooting, API Testing, API",,"Mumbai,Mumbai Suburbs",Other,"Media, Entertainment, Internet",Other
 Physics Teacher,4 - 6 ," Counselor, Mentor, Trainer, Advisor, Teaching",Subject Teachers (TGT/PGT),Mumbai,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Manager Sales &amp; Marketing,12 - 15 ," lead generation, branding, business development, Sales Management, market research, competitive intelligence, market analysis, Marketing",Institutional Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Design Engineer,2 - 7 ," Wireless, Automation, Simulation, Networking, Aerospace, FPGA, Coding, System verilog, Automotive, Physical design",Engineering Design,Hyderabad,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,1 - 5 ," hr, recruitment, recruiter, hiring, head hunting, leadership, mass hiring, volume hiring, bulk hiring, team leader, senior, tl, non it, it recruitment, technical hiring, it recruiter, bfsi, engineering, manufacturing, insurance, bpo, IT",HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Associate,0 - 3 , Associate,Accounts,Bengaluru,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 Receptionist (Female),1 - 5 ," Receptionist, Administration, Front Desk, Travel Arrangements, Front Office, Computer Operating",,Delhi,"Executive Assistant , Front Office , Data Entry","Banking, Financial Services, Broking",Receptionist
 Senior .NET Developer,2 - 7 ," javascript, html, sql server, ajax, jquery, soa, oop, english, proactive, asp net c",Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Manager : School & Higher Academic Books,5 - 10 ," marketing executive, Sales, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",Corporate Sales,"Bengaluru,Hyderabad,Chennai,Mumbai","Sales , Retail , Business Development",Publishing,Sales/Business Development Manager
 Supply Chain - Import Export Executive,1 - 2 ," QMS, Impex, Environmental Management System, Warehouse Management System, Export Import Logistics",Logistics,Chennai,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive
Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,2 - 7 ,"Java, core java, J2EE, Hibernate, Spring, LDAP, ADFS, Json, SOAP, jQuery, REST, Javascript, Java Web Services, Java Api, Advanced Java, MVC, Web Services, Open Source, SOA, Cloud, spring integration",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring for Spring Boot Developer-noida,2 - 3 ," spring boot, spring security, spring mvc",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Dynamic CRM Architect,8 - 12 ," Dynamics CRM, .Net, Azure, Visual Studio, Microsoft Dynamics, Solution Management, Root Cause, microservices, .NET development",Programming & Design,Bengaluru,"IT Software - ERP , CRM","IT-Software, Software Services",Technical Architect
 SE / SSE - DATA,3 - 8 ,,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
 Hiring for Accounts Manager (business Development)- Radio In,2 - 6 ," Marketing Strategy, Strategic Thinking, Interpersonal Communication, Sales, Promotions, Accounting, Account Management, Team Leading, Business Development Management, Advertising",Retail Sales,Mumbai,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales/Business Development Manager
Urgent Openings for O2C,0 - 2 ,"O2C,OTC,Order Management,Credit Management,Communication Skills",Accounts, Gurgaon,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance,Accounts Executive/Accountant
 ARCHITECTURAL CAD,2 - 7 ," visualization, m e p, modeling, drafting, design development, drawings, cad, preparation, quality",Architectural Services,Kolkata,"Architecture , Interior Design","Construction, Engineering, Cement, Metals",Architect
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division",5 - 10 ," pnr, primetime, sta, floorplan, timing closure, synthesis, vlsi, Physical design, floor planning",Engineering Design,"Bengaluru,Chennai,Hyderabad,Greater Noida","Engineering Design , R&D","Semiconductors, Electronics",Senior Design Engineer
 Assistant Manager Purchase,10 - 12 , Assistant Manager Purchase,Purchase/Material Management,"Gurgaon,Manesar","Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears",Purchase Executive
 Sr. Cloud Developer,5 - 8 ," SQL, Python, Analytics, Machine learning, Solution architecture, Analytical, SCALA, Cosmos, Programming, Data warehousing",Programming & Design,"Mumbai,Indore,Pune","IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Hiring for Manager Quality ( Voice and Chat),3 - 6 ," BPO, Transactional Quality, Quality Management, Quality manager, manager Quality",Quality,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager
" South Indian Cook,",2 - 5 ,,Senior Management,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Executive/Master Chef
 Sharepoint Support Engineer,5 - 8 ," IIS, Exchange Server, Windows Server, WSS, Sharepoint, Active Directory",Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Network Administration , Security",IT-Hardware & Networking,Technical Support Engineer
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai,7 - 12 ," pharma chemicals, business development, api, intermediates, sales",Corporate Sales,Mumbai,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Java- Technical Lead- Tavant Technologies - Hyderabad,5 - 9 ," Hibernate, Design Patterns, Cloud, Spring Boot, Team Leader, core java, Web Services, Microservices",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Hiring For Oracle Apps DBA@ Hyderabad,10 - 20 ,"Exadata, performance tuning, 11g, patching, sql, dataguard, rac, cassandra, oracle database, Weblogic, ebs, asm, apps dba, cloning",Admin/Maintenance/Security/Datawarehousing,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
"Walk in For Pharmacist @ 1mg Technologies ,, Gurugram Sec 14",2 - 7 ," hospital, pharma, pharmacy",R&D,Gurgaon,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Pharmacist/Chemist/Bio Chemist
" Agency Manager ,, Life Insurance ,,ahmedabad , Bhopal , Vadodara",2 - 7 ," Sales, insurance sales, agency sales, Direct sales, life advisor, channel sales, life insurance advisor, life insurance, agency",Retail Sales,"Bhopal,Ahmedabad,Vadodara","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
 HR Trainer,2 - 5 ," Training Needs, Soft Skills, Accent, HR, Feedback, Coaching, Customer Service, Process Compliance",Teachers,Bengaluru,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Technical / Process Trainer
 Project Manager For Civil Work,10 - 20 ," Real Estate Construction, Project Management, Interpersonal Communication, Communication Skills, Project Manager, Project Coordinator, site coordinator",Production/Manufacturing/Maintenance,Ahmedabad (Ellisbridge) ,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance
 Vacancy For Motion Graphic Artist,5 - 7 ," Graphics, Multimedia, Visualization, Infographics, Social Media, Adobe After Effects, Protools, Photoshop, Graphic Designing, English Language",,Pune,Other,"IT-Software, Software Services",Other
 Business Associate,0 - 3 ," international bpo, Chat Process, voice based process, tele caller, process developer, Sales, b.a, exl, communication skills, Ba, Blended Process, bba, wipro, tcs, bbm, customer support, bcom, cse, accenture, Fresher, wns",Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical)
 Project Support Officer/Administrator,1 - 5 ," project support, Banking, Maya, E-commerce, big data",Technical Support,Chennai,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Customer Support Engineer/Technician
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City",1 - 6 ," Networking, It Asset, Antivirus, Hardware Troubleshooting",Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",System Administrator
 Procurement - MDM,2 - 7 ," Procurement, Business process, IT services, Automation, data services, Master data management, Consulting, Vendor, Troubleshooting, Business Executive",Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"IT-Software, Software Services",Purchase/Vendor Development Manager
 If You're an Experienced in International Tech Sales Then Call Us / In,1 - 4 ," Recruitment, Outbound, Technical support, English, Comp, Email, Troubleshooting, Domestic BPO, International BPO, Inbound calls",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Game Artist,3 - 8 ," Photoshop, Illustrator, Fine arts, Software design, User interface designing, game development, creative content, Supervision, Relationship Executive, Business Executive",Programming & Design,Mumbai,IT Software - Telecom Software,"Animation, Gaming",Graphic/Web Designer
 Manager (PR),5 - 8 ," marketing, project management, PR, project planning",Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Senior Engineer Project,2 - 5 ," Leadership training, Software development life cycle, Management",Project Management,"Manesar,Gurgaon,haryana","Site Engineering , Project Management","IT-Software, Software Services",Project Manager-IT/Software
 PERL Developer,6 - 8 ," Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta",12 - 16 ," apache camel, Administration, Technical Support, redhat, Activemq",System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert
 Wire Industry,3 - 7 ," customer profiling, market research, sales executive, marketing executive, distributors, sales strategy, Business Development",Corporate Sales,"Gurgaon,Mumbai,Pune,Cuttack,Chennai,Kanpur,Kolkata,Raipur","Sales , Retail , Business Development","Recruitment, Staffing",Branch Manager/Regional Manager
 Manager Brand Marketing,4 - 7 ," customer segmentation, Brand management, Strategic partnerships, Brand marketing, Consumer insights, Performance appraisal, Operations, Promotional strategies, Marketing strategy, Recruitment",Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager
 Oracle Fusion Apps_manufacturing_any Location,6 - 11 ," Negotiation, Marine Operation, Oracle Fusion, Manufacturing, Inventory",System Design/Implementation/ERP/CRM,"Bengaluru,Pune","IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant
 VP / Sr.vp Fire,17 - 27 ," Fire Safety, fire, Senior Management",Safety/Health/Environment,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager
 Data Science Engineer,5 - 10 ," Unix, data science, SQL, Linux, SAS, HTML, Perl, SDLC, Android, Python",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
Executive - Lab Instruments Maintenance,3 - 7 ,"Installation,Breakdown Maintenance,Preventive Maintenance","Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent",Bengaluru,"Other Employment Type: Full Time, Permanent",Pharma / Biotech / Clinical Research,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent"
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,1 - 2 ," dot matrix, printer, printer support, Laserjet, Hardware",Technical Support,Navi Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician
 When you need a Roof you need a job. Come work with us,3 - 8 ," Outbound, Technical Support Associate, Email, Technical, US shift, Medical, Antivirus, Troubleshooting, Technical support, Comp",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Data Analyst,2 - 7 ," Reporting, Data Analysis, Business Analytics, Data Analytics, kpo",Analytics & BI,"Mohali,Chandigarh",Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst
"Java / J2EE, Web Services also experienced in AngularJS",2 - 6 ," HTML, XML, Ajax, rest, Prototype, technical, developing, JSON, application architecture, SDLC, javascript, jQuery, Web services, java, application, web, design, Web designing, architecture, applications",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior US IT Recruiter / Senior US Recruiter,1 - 5 ," us it recruiter, us it recruitment, us it staffing, us staffing, us technical recruiter, us recruitment",HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Service Engineer - Bhiwadi,1 - 6 ," service engineering, maintenance, breakdown, shutdown, amc, installation, repair, troubleshooting, field service engineer, Preventive Maintenance, breakdown maintenance, Field Engineer, Electrical Engineer",Production/Manufacturing/Maintenance,"Delhi NCR,Bhiwadi","Production , Manufacturing , Maintenance","Printing, Packaging",Service/Maintenance Engineer
 Sales Manager,4 - 9 ,"enterprise sales, relationship building, new business, sales strategy, B2B Sales, marketing management, cross selling, product marketing, consultative sales, b2b marketing, service sales, Corporate Sales, Key Accounts Manager",Institutional Sales,Chennai,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
Accounts Executive For 1-2 Years Experience,1 - 2 ," accounts executive, Accounting, accounts, finance",Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant
 Inbound Tour Manager,2 - 7 ," inbound, costing, selling, good communication, good communication skills, tickets, tour, experience, manager, packages",Ticketing/Travel/Documentation,Noida,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager
 Swimming Pool Technician,1 - 3 ," Monthly Reports, Maintenance, Technician Activities, Water Quality",Site Engineering,Bengaluru,"Site Engineering , Project Management",Other,Maintenance Engineer
Data Science Manager,8 - 12 ,"kaggle,NLP,data science,Artificial Intelligence,Natural Language Processing,analytical techniques,Text Mining,big data,machine learning,Deep Learning","ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Pro thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Pro expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Pro thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent","Pune,Gurgaon","Other Employment Type: Full Time, Permanent",Strategy / Management Consulting Firms,"ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Pro thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Pro expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Pro thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other"
 Associate Vice President - Talent Acquisition - Campus Hiring Program,12 - 18 ," Talent Acquisition, Recruitment, HR, Campus Hiring, recruitment, recruiting",Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-Recruitment
 Governance & Performance-Performance Management-Professors,7 - 10 ," Counselor, Mentor, Trainer, Advisor, Teaching",University Level,Hyderabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",6 - 11 ," project sales, Architects, Sales Operations, Sales Management, distributor, interior designers, Area Management, contractors, Area, Developers, consultants, dealer, territory management, Sales Manager",Retail Sales,"Delhi NCR,Kolkata,Chandigarh","Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Operations - SME / Retail,12 - 15 ," Retail, marketing executive, distributors, customer profiling, sales strategy, SME, market research, Business Development, Operations, sales executive",Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations
 Assistant Manager - HR Operations,4 - 6 ,,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager
 Sr. Sales / Sales Executive,2 - 4 ," Manager Sales, Sales Manager, assistant sales manager, MICE, Travel Agent, Senior Sales Executive, senior sales officer, Corporate Sales, Hotel Sales, Room Sales, Sales Executive",Retail Sales,Delhi NCR (Sunder Nagar) ,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer
 Senior Business Analyst - Sql/python,3 - 5 ," data analysis, vba, macros, advanced excel, oracle sql, google analytics, business analysis, python, data mining, business analyst",System Design/Implementation/ERP/CRM,Delhi,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst
" .NET Developer (asp.net, MVC, C#)",2 - 5 ," C#, CSS, XML, Asp Net, Javascript, Web Application, MS SQL Server, .Net, MVC, ASP.Net MVC, JQuery, Ajax",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Head- Land Management.,20 - 26 , land acquisition,Drug Regulatory Affairs/Documentation,Gurgaon,"Legal , Regulatory , Intellectual Property","Real Estate, Property",Head/VP/GM-Regulatory Affairs
 Sr. Business Analyst,2 - 5 ,"Java, Tomcat, Eclipse, OOPS, HTML, UNIX, SQL, DB2, Weblogic, XML, Flex, Oracle, PL",System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst
 CNC Machine Operator,2 - 3 ," cnc, cnc operator, cnc maintenance, cnc programming",Production/Manufacturing/Maintenance,"Ahmedabad,Gandhinagar","Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head
 Executive,5 - 10 ," Medical Representative, Senior Executive",Architectural Services,Ahmedabad,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect
 Presales Manager - Networking,3 - 8 ," Sales Engineer, solution architect, Presales, solution consultant, Technology Consultant",,Mumbai,Other,IT-Hardware & Networking,Other
 Inside Sales Executive,3 - 5 ," Inside Sales, Lead Generation, Cold Calling, New Business, Customer Service, Proposal Writing, Follow Ups, Sales Executive Activities, Communication Skills, Convincing Power",Corporate Sales,"Delhi NCR,Bengaluru","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Customer Care Executive,0 - 1 ," Customer Care, Inbound Process, Night Shift, Customer Care Executive, Customer Care Officer, BPO, Domestic BPO, International BPO",Other,Delhi NCR,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
 HR - Talent scout specialist,2 - 4 ," Performance management, Analytical, Design development, Conceptualization, HR, Continuous improvement, Sales support, Recruitment, Testing",Senior Management,Thane,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR
 Sr. Sales Manager,8 - 10 ," Service delivery, Bfsi, enterprise mobility, Market intelligence, Tools, Application development, Sales process, microsoft, Middleware, Business Executive",Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Laundry Executive,1 - 3 , laundry,Housekeeping,Mumbai,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.
 Accounts executive,2 - 7 ," TDS, Financial statements, Invoice processing, business opportunity, Interpersonal skills, Tally ERP, Accounting, Analytical, Accounts receivable, Recruitment",Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 MBA HR - Experience,5 - 10 ," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager
 System Analyst,2 - 3 ," T-SQL, Web technologies, data manipulation, MIS, XML, Data structures, System Analyst, JSON, Scripting",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst
 Account Assistance,2 - 3 ," Audit, Credit Officers, Internal audit, Accounting, Finance, Tax, Accounts, Risk Management",Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant
 Senior Embedded Engineer,3 - 5 ," gsm, ethernet, development, optimization, product development, troubleshooting, gps, lcd, embedded, spi",Programming & Design,Ahmedabad,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai,4 - 7 ," Fortigate, Networking, Routing, Hyper - V, Dlp, Sophos, Windows, Virtualization, Switching, Firewall",Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Technical Support Engineer
 Java Developer,4 - 8 ," Java, Spring Boot, Web Services, Microservices",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
